,loss,epoch,batch,running_loss,acc
0,0.692987322807312,1,25,"tensor(0.6930, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6929583549499512,1,26,"tensor(0.6930, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6928015947341919,1,27,"tensor(0.6928, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6922801733016968,1,28,"tensor(0.6923, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.6925562620162964,1,29,"tensor(0.6926, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.693446159362793,1,30,"tensor(0.6934, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.6932829022407532,1,31,"tensor(0.6933, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6930180788040161,1,32,"tensor(0.6930, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6900878548622131,1,33,"tensor(0.6901, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5938, device='cuda:0')"
0,0.6920452117919922,1,34,"tensor(0.6920, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6882808804512024,1,35,"tensor(0.6883, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.6917271614074707,1,36,"tensor(0.6917, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6895841360092163,1,37,"tensor(0.6896, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6853642463684082,1,38,"tensor(0.6854, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.7012566328048706,1,39,"tensor(0.7013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4219, device='cuda:0')"
0,0.691098690032959,1,40,"tensor(0.6911, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6961648464202881,1,41,"tensor(0.6962, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.6894888877868652,1,42,"tensor(0.6895, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6980708241462708,1,43,"tensor(0.6981, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.7039679884910583,1,44,"tensor(0.7040, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4219, device='cuda:0')"
0,0.700028657913208,1,45,"tensor(0.7000, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6876702308654785,1,46,"tensor(0.6877, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6926382780075073,1,47,"tensor(0.6926, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6975685358047485,1,48,"tensor(0.6976, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
